ANIO,CVE_ENT,CRE_NAT,CRE_SOC,CRE_TOT,DEF,EDAD_MED,EMI_EST,EMI_INT,EVH,EVM,EV,HOM_MIT_ANIO,IND_ENV,INM_EST,INM_INT,MIG_NET_EST,MIG_NET_INT,MUJ_MIT_ANIO,NAC,POB_MIT_ANIO,MUJ_12_14,MUJ_15_17,MUJ_15_19,MUJ_15_29,MUJ_15_49,MUJ_18_24,MUJ_20_24,MUJ_3_5,MUJ_30_64,MUJ_6_11,MUJ_65_MAS,HOM_12_14,HOM_15_17,HOM_15_19,HOM_15_29,HOM_15_49,HOM_18_24,HOM_20_24,HOM_3_5,HOM_30_64,HOM_6_11,HOM_65_MAS,POB_12_14,POB_15_17,POB_15_19,POB_15_29,POB_15_49,POB_18_24,POB_20_24,POB_3_5,POB_30_64,POB_6_11,POB_65_MAS,RAZ_DEP_ADU,RAZ_DEP_INF,RAZ_DEP,T_BRU_MOR,T_BRU_NAT,T_CRE_NAT,T_CRE_SOC,T_CRE_TOT,T_EMI_EST,T_INM_EST,T_MIG_NET_EST,T_MIG_NET_INT,TMIH,TMIM,TMI,TEF_ADO,TGF
2020,0,1375102,-177638,1197464,776256,28.45,698742,314423,72.37,78.11,75.23,62567626,29.62,698742,136785,0,-177638,65224660,2151358,127792286,3279593,3281686,5452680,16154979,34533408,7544688,5373694,3224331,27526664,6515977,5358231,3398396,3392818,5619968,16397187,33115635,7690013,5462863,3342650,24987746,6754694,4405327,6677989,6674504,11072648,32552166,67649043,15234701,10836557,6566981,52514410,13270671,9763558,11.48,38.75,50.23,6.07,16.83,1.08,-0.14,0.94,0.55,0.55,0,-0.14,14.08,11.45,12.8,68.53,2.05
2021,0,1342462,-179577,1162885,791489,29,693673,317765,72.49,78.24,75.35,63139259,30.88,693673,138188,0,-179577,65833180,2133951,128972439,3270969,3279308,5451509,16152778,34738104,7539019,5366818,3202476,28003516,6498933,5564409,3388959,3392329,5624910,16417826,33373639,7689174,5456593,3320885,25446903,6737802,4570712,6659928,6671637,11076419,32570604,68111743,15228193,10823411,6523361,53450419,13236735,10135121,11.78,38.15,49.93,6.14,16.55,1.04,-0.14,0.9,0.54,0.54,0,-0.14,13.74,11.16,12.48,67.69,2.03
2022,0,1310395,-181439,1128956,806380,29,688381,320758,72.62,78.38,75.49,63692767,32.23,688381,139319,0,-181439,66425589,2116775,130118356,3262263,3272477,5446970,16140954,34922196,7539755,5365262,3178529,28466805,6479191,5782187,3380367,3385384,5623888,16420759,33614558,7694840,5456336,3296453,25901017,6718177,4745111,6642630,6657861,11070858,32561713,68536754,15234595,10821598,6474982,54367822,13197368,10527298,12.11,37.57,49.68,6.2,16.27,1.01,-0.14,0.87,0.53,0.53,0,-0.14,13.36,10.85,12.13,66.92,2.01
2023,0,1278103,-183229,1094874,821706,29.55,682842,323424,72.76,78.52,75.63,64228297,33.66,682842,140195,0,-183229,67001958,2099809,131230255,3253415,3263885,5439278,16123378,35088462,7543002,5367609,3153786,28913597,6454798,6011402,3372136,3375793,5617330,16412749,33842429,7703234,5461697,3270912,26344739,6693773,4928167,6625551,6639678,11056608,32536127,68930891,15246236,10829306,6424698,55258336,13148571,10939569,12.46,37.01,49.47,6.26,16,0.97,-0.14,0.83,0.52,0.52,0,-0.14,12.98,10.54,11.79,66.21,1.99
2024,0,1245920,-184869,1061051,837090,30,677172,325716,72.9,78.67,75.78,64746182,35.18,677172,140847,0,-184869,67562094,2083010,132308276,3245643,3255415,5427157,16101531,35238871,7543823,5372081,3129346,29342218,6424185,6251430,3364542,3366850,5605464,16398664,34061013,7710348,5471734,3245480,26774350,6662908,5119225,6610185,6622265,11032621,32500195,69299884,15254171,10843815,6374826,56116568,13087093,11370655,12.83,36.47,49.3,6.33,15.74,0.94,-0.14,0.8,0.51,0.51,0,-0.14,12.6,10.22,11.44,65.53,1.97
2020,1,17198,1764,18962,7324,27,4579,4463,72.96,78.89,75.91,706634,23.73,8829,1977,4250,-2486,728001,24522,1434635,39360,39611,65804,191219,392641,90157,63964,37181,296835,76879,50231,40925,41087,68172,197928,382358,93466,66381,38770,269234,80456,41702,80285,80698,133976,389147,774999,183623,130345,75951,566069,157335,91933,9.62,40.57,50.19,5.11,17.09,1.2,0.12,1.32,0.319175261,0.615417859,0.296242598,-0.17,10.87,8.95,9.93,73.83,2.01
2021,1,16975,1700,18675,7527,27,4520,4508,73.06,79,76.01,715916,24.97,8729,1999,4209,-2509,737536,24502,1453452,39258,39647,65954,192376,397150,90645,64338,36894,303726,76595,52585,40873,41163,68370,199154,387853,93810,66603,38268,276193,80287,43723,80131,80810,134324,391530,785003,184455,130941,75162,579919,156882,96308,9.91,39.7,49.62,5.18,16.86,1.17,0.12,1.28,0.310983782,0.600570229,0.289586447,-0.17,10.62,8.73,9.7,72.99,1.99
2022,1,16531,1620,18151,7713,27.7,4463,4549,73.19,79.14,76.15,724980,26.3,8624,2008,4161,-2541,746879,24244,1471859,39136,39603,66010,193303,401384,91128,64721,36688,310551,76207,55088,40823,41159,68486,200055,393112,94164,66837,37958,283206,79873,45849,79959,80762,134496,393358,794496,185292,131558,74646,593757,156080,100937,10.23,38.88,49.11,5.24,16.47,1.12,0.11,1.23,0.30322198,0.58592569,0.28270371,-0.17,10.32,8.48,9.42,71.53,1.96
2023,1,16301,1564,17865,7918,28,4401,4585,73.31,79.26,76.27,733828,27.72,8523,2027,4122,-2558,756047,24219,1489875,38997,39516,65983,194036,405372,91556,65089,36510,317272,75771,57754,40775,41110,68525,200715,398173,94508,67093,37774,290205,79272,48078,79772,80626,134508,394751,803545,186064,132182,74284,607477,155043,105832,10.56,38.1,48.66,5.31,16.26,1.09,0.1,1.2,0.295393909,0.572061415,0.276667506,-0.17,10.04,8.25,9.17,70.84,1.94
2024,1,15836,1501,17337,8115,28.28,4333,4619,73.45,79.4,76.41,742455,29.22,8417,2036,4084,-2583,765019,23951,1507474,38857,39410,65864,194590,409136,91871,65417,36311,323866,75322,60567,40721,41056,68489,201195,403071,94802,67369,37569,297139,78636,50395,79578,80466,134353,395785,812207,186673,132786,73880,621005,153958,110962,10.91,37.35,48.26,5.38,15.89,1.05,0.1,1.15,0.287434476,0.558351255,0.270916779,-0.17,9.74,8,8.89,69.52,1.91
